"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 16 19:00:12 GMT 2025","Wed Jul 16 19:00:15 GMT 2025","3187","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","loginViaAPIAndCheckUsername","Login via API and check username",""
"passed","Wed Jul 16 18:59:56 GMT 2025","Wed Jul 16 18:59:56 GMT 2025","0","","api.APITests","","api.APITests","passedNumericTest","Passed numeric test",""
"failed","Wed Jul 16 18:59:57 GMT 2025","Wed Jul 16 18:59:57 GMT 2025","719","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticleSchemaShouldFail","Validate Article against Wrong Schema",""
"passed","Wed Jul 16 19:00:15 GMT 2025","Wed Jul 16 19:00:18 GMT 2025","2850","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateMainPageTitle","Verify the main page title is correct",""
"passed","Wed Jul 16 18:59:56 GMT 2025","Wed Jul 16 18:59:56 GMT 2025","281","","api.APITests","","api.APITests","verifyFirstTagInTheTagEndpoint","First tag is named Test",""
"passed","Wed Jul 16 18:59:55 GMT 2025","Wed Jul 16 18:59:55 GMT 2025","156","","api.APITests","","api.APITests","printingAllTheArticles","Printing all the articles",""
"failed","Wed Jul 16 18:59:55 GMT 2025","Wed Jul 16 18:59:56 GMT 2025","1141","","api.APITests","","api.APITests","verifyArticlesCountProperty","Verify 'articlesCount' property is correct",""
"passed","Wed Jul 16 18:59:57 GMT 2025","Wed Jul 16 18:59:58 GMT 2025","156","","api.SchemaValidationTests","","api.SchemaValidationTests","validateTagsSchema","Validate Tags Schema",""
"failed","Wed Jul 16 19:00:10 GMT 2025","Wed Jul 16 19:00:12 GMT 2025","2333","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","failTestMustTakeScreenshot","Failed test, must take screenshot",""
"passed","Wed Jul 16 18:59:49 GMT 2025","Wed Jul 16 18:59:55 GMT 2025","5839","","api.APITests","","api.APITests","validateStatusCodeForTagsIs200","Verify status code for tags is 200",""
"passed","Wed Jul 16 18:59:57 GMT 2025","Wed Jul 16 18:59:57 GMT 2025","110","","api.SchemaValidationTests","","api.SchemaValidationTests","validateArticlesSchema","Validate Articles Schema",""
"passed","Wed Jul 16 18:59:58 GMT 2025","Wed Jul 16 19:00:10 GMT 2025","12290","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","validateTagsFromUIWithApi","Verify the tags from main UI are the same from API",""
"passed","Wed Jul 16 18:59:56 GMT 2025","Wed Jul 16 18:59:56 GMT 2025","156","","api.APITests","","api.APITests","verityArticlesLimit","Verify articles limit return correct amount of articles",""
"passed","Wed Jul 16 19:00:18 GMT 2025","Wed Jul 16 19:01:04 GMT 2025","45799","","api_and_selenium.APIWithSeleniumTests","","api_and_selenium.APIWithSeleniumTests","createArticleViaAPIAndCheckItOnUI","Create an article via API and Check it on the UI",""
